PRODUCE,COST PER POUND,POUNDS SOLD
Daikon,1.4,39.6
Strawberries,4.4,26.1
Bok choy,1.42,10.1
Parsnips,2.27,33.5
Avocados,3.23,13
Bok choy,1.42,23
Lettuce,1.88,5.1
Apricots,3.71,17.4
Okra,2.26,30.7
Apricots,3.71,14.6
Lemon,1.29,35.1
Papaya,1.34,15.8
Orange,1.09,27.9
Garlic,1.19,4.1
Ginger,5.13,19.7
Potatoes,0.86,32.5
Lime,1.06,12.5
Avocados,3.23,7.6
Butternut squash,1.28,31.8
Lime,1.06,18.7
Ginger,5.13,33
Ginger,5.13,34.7
Beets,1.51,16
Coconuts,1.18,25.5
Ginger,5.13,32.5
Parsnips,2.27,21.3
Apricots,3.71,6.8
Eggplant,2.32,25.8
Cucumber,1.07,11.5
Fava beans,2.69,26.2
Apples,1.88,5.7
Watermelon,0.66,3.5
Coconuts,1.18,34.4
Beets,1.51,5.7
Strawberries,4.4,21.1
Corn,1.07,10
Watermelon,0.66,8.3
Corn,1.07,30.7
Grapefruit,0.76,38.4
Grapefruit,0.76,8.3
Asparagus,2.49,16.1
Tomatoes,3.16,6.6
Kale,5.02,6.7
Ginger,5.13,9.1
Orange,1.09,8
Garlic,1.19,14.2
Daikon,1.4,28.5
Lime,1.06,38.9
Ginger,5.13,6.7
Green cabbage,0.8,31.9
Fava beans,2.69,5
Bok choy,1.42,11.4
Okra,2.26,2.7
Parsnips,2.27,27.8
Garlic,1.19,17.7
Kale,5.02,35
Green beans,2.52,23
Corn,1.07,1.6
Apricots,3.71,10.3
Yellow peppers,2.87,36.7
Parsnips,2.27,10.7
Yellow peppers,2.87,1.1
Green peppers,1.89,22.2
Butternut squash,1.28,32.6
Butternut squash,1.28,33.5
Avocados,3.23,3.4
Yellow peppers,2.87,32.5
Grapes,2.63,24.5
Yellow peppers,2.87,26.4
Brussels sprouts,1.65,30.2
Coconuts,1.18,9.4
Avocados,3.23,34.5
Lemon,1.29,11.7
Orange,1.09,18.9
Orange,1.09,12.3
Green cabbage,0.8,17
Tomatoes,3.16,13.4
Bananas,0.86,19.4
Okra,2.26,9.9
Yellow peppers,2.87,33.8
Brussels sprouts,1.65,25.4
Lettuce,1.88,16.9
Coconuts,1.18,22.6
Tomatoes,3.16,8.7
Beets,1.51,27.7
Yellow peppers,2.87,24.1
Green peppers,1.89,11.5
Cucumber,1.07,2.7
Green peppers,1.89,37.5
Strawberries,4.4,29.9
Spinach,4.12,18.3
Bok choy,1.42,34.4
Avocados,3.23,37.6
Eggplant,2.32,6.9
Grapes,2.63,38.9
Watermelon,0.66,31.4
Green cabbage,0.8,20.7
Fava beans,2.69,10.6
Green beans,2.52,35.7
Tomatoes,3.16,32.4
Avocados,3.23,13.3
Tomatoes,3.16,20.3
Bananas,0.86,2.9
Lettuce,1.88,34.3
Strawberries,4.4,6.3
Butternut squash,1.28,11.5
Grapefruit,0.76,0.6
Green cabbage,0.8,5.9
Green peppers,1.89,34.6
Ginger,5.13,8.3
Green peppers,1.89,6.8
Orange,1.09,13.4
Orange,1.09,6.3
Beets,1.51,14.4
Green cabbage,0.8,8.8
Orange,1.09,35.9
Brussels sprouts,1.65,5.7
Celery,3.07,1.6
Papaya,1.34,14.7
Carrots,1.26,9.8
Coconuts,1.18,28.6
Ginger,5.13,36.5
Apples,1.88,36.3
Apricots,3.71,37.7
Green cabbage,0.8,20.5
Bananas,0.86,30.2
Cherries,9.5,8.9
Daikon,1.4,8.4
Avocados,3.23,39.7
Lemon,1.29,0.5
Lime,1.06,22.5
Okra,2.26,36.7
Apples,1.88,14.8
Tomatoes,3.16,10.8
Parsnips,2.27,36.6
Garlic,1.19,34.2
Avocados,3.23,37.3
Grapes,2.63,5.7
Apples,1.88,31.5
Bok choy,1.42,3.9
Asparagus,2.49,26.2
Avocados,3.23,16.2
Grapes,2.63,33.4
Lemon,1.29,26.3
Butternut squash,1.28,3.1
Apples,1.88,24.1
Avocados,3.23,18.3
Bok choy,1.42,13.8
Cherries,9.5,12.3
Cucumber,1.07,9.3
Cucumber,1.07,5.4
Red onion,0.78,0.7
Bok choy,1.42,1.5
Papaya,1.34,7.3
Green peppers,1.89,13.6
Grapes,2.63,14.7
Lemon,1.29,31.8
Okra,2.26,39.2
Garlic,1.19,0.7
Yellow peppers,2.87,19.8
Kale,5.02,24.5
Beets,1.51,9.1
Grapefruit,0.76,18.3
Green peppers,1.89,2.9
Tomatoes,3.16,19.4
Apples,1.88,25.5
Fava beans,2.69,23.2
Corn,1.07,9.9
Corn,1.07,36.9
Fava beans,2.69,17
Grapefruit,0.76,15.9
Green beans,2.52,29.1
Daikon,1.4,28.2
Coconuts,1.18,12.9
Bok choy,1.42,1
Ginger,5.13,23.7
Bok choy,1.42,19.4
Papaya,1.34,11.3
Papaya,1.34,6.3
Ginger,5.13,3.3
Grapes,2.63,31.9
Green peppers,1.89,37.5
Red onion,0.78,2.7
Eggplant,2.32,33.6
Cucumber,1.07,31.1
Watermelon,0.66,28.8
Coconuts,1.18,8.2
Ginger,5.13,23.3
Parsnips,2.27,6
Lime,1.06,9.5
Grapefruit,0.76,29.9
Carrots,1.26,27.3
Green beans,2.52,12.6
Lime,1.06,26.5
Bok choy,1.42,24.4
Grapes,2.63,27.1
Corn,1.07,6.6
Grapes,2.63,17.7
Papaya,1.34,4.7
Celery,3.07,17.2
Cherries,9.5,4.2
Lemon,1.29,21.6
Garlic,1.19,16.6
Red onion,0.78,33
Bok choy,1.42,2.2
Fava beans,2.69,27.4
Coconuts,1.18,0.5
Beets,1.51,31
Fava beans,2.69,3.6
Orange,1.09,25.7
Daikon,1.4,33.2
Lime,1.06,35.3
Bok choy,1.42,27.7
Papaya,1.34,32.9
Fava beans,2.69,17.4
Grapes,2.63,6.6
Brussels sprouts,1.65,38.7
Garlic,1.19,16.1
Garlic,1.19,39.9
Cherries,9.5,31.7
Lime,1.06,3.3
Ginger,5.13,1.6
Apricots,3.71,15.5
Papaya,1.34,35.1
Daikon,1.4,13.2
Lemon,1.29,3.2
Potatoes,0.86,10.8
Lime,1.06,2.5
Okra,2.26,13.3
Cucumber,1.07,24
Potatoes,0.86,17.6
Kale,5.02,7
Brussels sprouts,1.65,21.5
Apricots,3.71,5.3
Spinach,4.12,11.2
Potatoes,0.86,38.4
Apricots,3.71,11.3
Coconuts,1.18,7.4
Ginger,5.13,12.4
Garlic,1.19,5.6
Cherries,9.5,39.3
Yellow peppers,2.87,12.9
Potatoes,0.86,17.1
Garlic,1.19,11.4
Cherries,9.5,20.6
Spinach,4.12,18
Coconuts,1.18,9.7
Bananas,0.86,24.9
Yellow peppers,2.87,39.6
Carrots,1.26,2.5
Cucumber,1.07,14
Corn,1.07,39.3
Coconuts,1.18,19.2
Cucumber,1.07,7.9
Okra,2.26,28.8
Spinach,4.12,10.8
Kale,5.02,4.1
Watermelon,0.66,33.6
Spinach,4.12,24.7
Corn,1.07,17
Apples,1.88,11.4
Daikon,1.4,31
Green peppers,1.89,17.4
Watermelon,0.66,5.6
Yellow peppers,2.87,31
Red onion,0.78,21.3
Beets,1.51,39.6
Grapes,2.63,8.5
Green cabbage,0.8,11.5
Parsnips,2.27,34.2
Corn,1.07,1.7
Yellow peppers,2.87,39.4
Cucumber,1.07,29.2
Ginger,5.13,14.6
Asparagus,2.49,37.4
Potatoes,0.86,5.2
Apricots,3.71,2.5
Kale,5.02,35.9
Asparagus,2.49,13.5
Corn,1.07,11.7
Grapes,2.63,1.1
Yellow peppers,2.87,33.9
Beets,1.51,15.7
Strawberries,4.4,23.7
Apricots,3.71,10.2
Bananas,0.86,10.6
Celery,3.07,2.5
Papaya,1.34,26.3
Tomatoes,3.16,37.2
Green cabbage,0.8,39.4
Carrots,1.26,7.8
Apricots,3.71,38.9
Butternut squash,1.28,35.5
Watermelon,0.66,7
Bananas,0.86,13.2
Apricots,3.71,19
Garlic,1.19,19.2
Red onion,0.78,26.5
Green peppers,1.89,24.7
Beets,1.51,28.1
Avocados,3.23,1.1
Corn,1.07,38.7
Bananas,0.86,26.2
Daikon,1.4,36.6
Celery,3.07,7.6
Apricots,3.71,12.7
Carrots,1.26,25.7
Watermelon,0.66,21.7
Grapes,2.63,35.2
Bok choy,1.42,2
Eggplant,2.32,23
Red onion,0.78,26.7
Brussels sprouts,1.65,20.9
Orange,1.09,26.5
Asparagus,2.49,18.7
Yellow peppers,2.87,17.5
Grapefruit,0.76,30.7
Eggplant,2.32,35.3
Lime,1.06,13.1
Grapefruit,0.76,8.8
Kale,5.02,34.4
Grapes,2.63,10.3
Coconuts,1.18,4.8
Bok choy,1.42,37.3
Okra,2.26,32.6
Asparagus,2.49,10.1
Green cabbage,0.8,31.1
Ginger,5.13,2
Cherries,9.5,23.2
Kale,5.02,0.9
Yellow peppers,2.87,29.3
Avocados,3.23,35.6
Green beans,2.52,25.3
Ginger,5.13,19.8
Orange,1.09,1.4
Asparagus,2.49,11.2
Garlic,1.19,30
Okra,2.26,18.1
Beets,1.51,2.8
Green beans,2.52,5.9
Green peppers,1.89,37.8
Avocados,3.23,26.2
Beets,1.51,18.3
Red onion,0.78,20.5
Okra,2.26,35
Grapes,2.63,10.7
Grapes,2.63,19.4
Grapes,2.63,31.8
Apples,1.88,39.5
Kale,5.02,27.3
Carrots,1.26,18.2
Bananas,0.86,19.8
Lemon,1.29,17.8
Green peppers,1.89,19.7
Bananas,0.86,5.6
Lime,1.06,16.5
Apricots,3.71,9.7
Green cabbage,0.8,14
Daikon,1.4,27.1
Green beans,2.52,33
Carrots,1.26,26.3
Lemon,1.29,11.5
Daikon,1.4,35.6
Garlic,1.19,26.4
Cherries,9.5,38.5
Lettuce,1.88,27.9
Eggplant,2.32,36.4
Green cabbage,0.8,35.9
Bananas,0.86,6.5
Coconuts,1.18,15.1
Lime,1.06,23.4
Green peppers,1.89,38.1
Coconuts,1.18,4
Green beans,2.52,3.7
Yellow peppers,2.87,23.2
Celery,3.07,19.2
Parsnips,2.27,3.7
Celery,3.07,38.6
Grapefruit,0.76,30
Cherries,9.5,24.3
Brussels sprouts,1.65,4.7
Yellow peppers,2.87,37.1
Apples,1.88,17.3
Orange,1.09,8.4
Lemon,1.29,14.1
Corn,1.07,29.3
Watermelon,0.66,39.7
Garlic,1.19,30.3
Red onion,0.78,21
Eggplant,2.32,4.3
Lettuce,1.88,21.9
Okra,2.26,28.6
Celery,3.07,38.1
Asparagus,2.49,3.4
Kale,5.02,9.6
Strawberries,4.4,2.8
Bananas,0.86,27.9
Green cabbage,0.8,23.1
Brussels sprouts,1.65,14.9
Lime,1.06,19.5
Corn,1.07,11.9
Spinach,4.12,16.4
Yellow peppers,2.87,6
Bok choy,1.42,6.8
Spinach,4.12,31.2
Tomatoes,3.16,22
Carrots,1.26,28.1
Apples,1.88,11.1
Bananas,0.86,25.4
Green beans,2.52,11.6
Beets,1.51,32.8
Bananas,0.86,10.6
Green peppers,1.89,29.4
Apricots,3.71,2.6
Lettuce,1.88,26.3
Beets,1.51,25.5
Beets,1.51,35.2
Green cabbage,0.8,32.2
Corn,1.07,20.3
Coconuts,1.18,12.2
Tomatoes,3.16,33.6
Yellow peppers,2.87,22
Lemon,1.29,13.3
Celery,3.07,34.6
Grapes,2.63,2.5
Green peppers,1.89,15.2
Grapefruit,0.76,28.7
Asparagus,2.49,8.7
Cucumber,1.07,23.2
Garlic,1.19,19.1
Carrots,1.26,23.2
Cherries,9.5,33.9
Eggplant,2.32,11.7
Bok choy,1.42,21
Lime,1.06,26.3
Lemon,1.29,13.8
Lemon,1.29,37.7
Watermelon,0.66,22.2
Avocados,3.23,16.3
Green beans,2.52,16.5
Celery,3.07,38.4
Lime,1.06,37.5
Corn,1.07,13.8
Orange,1.09,10.4
Ginger,5.13,2.8
Coconuts,1.18,32.1
Orange,1.09,26.7
Orange,1.09,36.8
Lettuce,1.88,39.4
Apricots,3.71,31
Green beans,2.52,18
Brussels sprouts,1.65,6.9
Apricots,3.71,14.1
Grapefruit,0.76,10.9
Corn,1.07,20.3
Kale,5.02,15.6
Asparagus,2.49,26.7
Avocados,3.23,10.1
Okra,2.26,31.9
Papaya,1.34,10.4
Lettuce,1.88,35.9
Okra,2.26,33.1
Watermelon,0.66,13.5
Ginger,5.13,39.8
Daikon,1.4,11.7
Yellow peppers,2.87,22.5
Cherries,9.5,14.9
Coconuts,1.18,11.5
Cherries,9.5,17.9
Green beans,2.52,1.1
Cucumber,1.07,28.9
Beets,1.51,39.1
Lemon,1.29,1.8
Yellow peppers,2.87,6.7
Tomatoes,3.16,33.9
Green cabbage,0.8,1.3
Tomatoes,3.16,12.3
Brussels sprouts,1.65,1.9
Butternut squash,1.28,24.1
Strawberries,4.4,24.6
Eggplant,2.32,26.9
Strawberries,4.4,5.3
Parsnips,2.27,39.6
Grapefruit,0.76,35.5
Grapefruit,0.76,10.8
Parsnips,2.27,9.1
Garlic,1.19,16.5
Watermelon,0.66,17.6
Eggplant,2.32,31.8
Coconuts,1.18,5.1
Corn,1.07,27.7
Beets,1.51,31.2
Cherries,9.5,31.8
Bok choy,1.42,21.2
Lettuce,1.88,15.8
Okra,2.26,11.1
Cucumber,1.07,29.7
Bananas,0.86,29.2
Okra,2.26,30.2
Carrots,1.26,26
Tomatoes,3.16,13.1
Red onion,0.78,8.5
Potatoes,0.86,26.3
Beets,1.51,4
Grapefruit,0.76,15.6
Fava beans,2.69,14.9
Ginger,5.13,14.3
Grapes,2.63,3.4
Green beans,2.52,32.2
Cucumber,1.07,22.5
Corn,1.07,17.6
Bok choy,1.42,1.8
Grapes,2.63,11.2
Watermelon,0.66,27.9
Apricots,3.71,12
Orange,1.09,34.9
Potatoes,0.86,9.6
Watermelon,0.66,28.1
Green peppers,1.89,30.7
Lime,1.06,13.8
Cucumber,1.07,11.1
Parsnips,2.27,17.8
Cucumber,1.07,15.1
Eggplant,2.32,9.1
Beets,1.51,6.9
Bok choy,1.42,38
Lettuce,1.88,10.6
Beets,1.51,28.9
Cucumber,1.07,3.1
Apples,1.88,28.8
Asparagus,2.49,32.6
Spinach,4.12,20.3
Strawberries,4.4,38.6
Lettuce,1.88,25
Beets,1.51,11.2
Ginger,5.13,13.3
Bok choy,1.42,15.9
Apples,1.88,34.4
Lemon,1.29,37.8
Grapes,2.63,0.6
Daikon,1.4,34.5
Orange,1.09,35
Carrots,1.26,32.6
Kale,5.02,12.8
Lettuce,1.88,26.4
Parsnips,2.27,38.8
Red onion,0.78,26.4
Parsnips,2.27,24.9
Lettuce,1.88,10.1
Watermelon,0.66,8.9
Okra,2.26,15.8
Watermelon,0.66,1.4
Beets,1.51,10.8
Kale,5.02,18.3
Parsnips,2.27,33.2
Tomatoes,3.16,12.8
Kale,5.02,6.2
Lemon,1.29,6.5
Cherries,9.5,32.1
Bananas,0.86,12.1
Red onion,0.78,39.8
Grapefruit,0.76,19.1
Butternut squash,1.28,19.6
Okra,2.26,37.7
Parsnips,2.27,8.5
Watermelon,0.66,23.6
Lemon,1.29,19.7
Grapefruit,0.76,38.4
Avocados,3.23,18
Lime,1.06,40
Corn,1.07,7.4
Cherries,9.5,26.4
Brussels sprouts,1.65,16.4
Ginger,5.13,5.3
Lime,1.06,32.3
Okra,2.26,21.4
Celery,3.07,31.9
Brussels sprouts,1.65,14.6
Carrots,1.26,32.3
Red onion,0.78,26.2
Celery,3.07,20.6
Parsnips,2.27,9.8
Strawberries,4.4,15.8
Avocados,3.23,9
Butternut squash,1.28,21.8
Okra,2.26,29.6
Papaya,1.34,39.6
Yellow peppers,2.87,26.1
Beets,1.51,35.8
Papaya,1.34,36
Green peppers,1.89,3.7
Fava beans,2.69,26.7
Apples,1.88,3.8
Green cabbage,0.8,29.7
Celery,3.07,18
Yellow peppers,2.87,31.6
Spinach,4.12,37.9
Grapefruit,0.76,24
Apricots,3.71,38.1
Apples,1.88,28.6
Bok choy,1.42,14.7
Carrots,1.26,34.5
Lime,1.06,1.3
Grapefruit,0.76,12
Asparagus,2.49,32
Avocados,3.23,30.2
Beets,1.51,37.9
Bananas,0.86,2.2
Beets,1.51,36
Avocados,3.23,7.4
Grapefruit,0.76,12.9
Cherries,9.5,23
Green peppers,1.89,38.8
Grapefruit,0.76,16.1
Apricots,3.71,6.7
Grapefruit,0.76,7.8
Bananas,0.86,12.1
Parsnips,2.27,32.1
Papaya,1.34,14.4
Parsnips,2.27,22
Red onion,0.78,39.7
Avocados,3.23,38.4
Celery,3.07,29.5
Avocados,3.23,17.8
Watermelon,0.66,7.9
Cherries,9.5,31.1
Butternut squash,1.28,37.5
Strawberries,4.4,2.8
Apples,1.88,2.7
Apricots,3.71,5.9
Parsnips,2.27,18.2
Bananas,0.86,33.6
Butternut squash,1.28,4.5
Ginger,5.13,25.8
Watermelon,0.66,21.8
Carrots,1.26,11.1
Coconuts,1.18,38.4
Lettuce,1.88,5.8
Bananas,0.86,14.2
Orange,1.09,34.7
Fava beans,2.69,36.5
Eggplant,2.32,21
Kale,5.02,22.8
Eggplant,2.32,30.6
Parsnips,2.27,38.5
Kale,5.02,29.7
Avocados,3.23,14.2
Cucumber,1.07,34.8
Spinach,4.12,1.2
Cherries,9.5,11
Orange,1.09,20
Red onion,0.78,27.4
Grapefruit,0.76,17.4
Carrots,1.26,21
Corn,1.07,38.7
Bok choy,1.42,14.9
Lettuce,1.88,4.8
Carrots,1.26,38.6
Yellow peppers,2.87,23.7
Parsnips,2.27,34.4
Red onion,0.78,7
Coconuts,1.18,24.4
Carrots,1.26,33
Eggplant,2.32,26.8
Tomatoes,3.16,22.3
Spinach,4.12,33.8
Daikon,1.4,20.7
Grapes,2.63,6.4
Corn,1.07,36.2
Apples,1.88,29.4
Red onion,0.78,19.6
Yellow peppers,2.87,35.1
Strawberries,4.4,32.8
Lettuce,1.88,30.5
Strawberries,4.4,37.3
Apples,1.88,33.9
Avocados,3.23,26.5
Apples,1.88,5.3
Tomatoes,3.16,10.3
Fava beans,2.69,38
Grapes,2.63,10.1
Papaya,1.34,11.4
Watermelon,0.66,18.6
Garlic,1.19,36.3
Green cabbage,0.8,20.7
Strawberries,4.4,26.9
Tomatoes,3.16,4.2
Green cabbage,0.8,21.3
Papaya,1.34,8.2
Lettuce,1.88,10.2
Bananas,0.86,28.7
Carrots,1.26,7.2
Spinach,4.12,29.2
Corn,1.07,9.1
Coconuts,1.18,24.6
Lime,1.06,15.8
Cherries,9.5,9
Green cabbage,0.8,38.3
Strawberries,4.4,32.3
Bananas,0.86,12.2
Red onion,0.78,29
Fava beans,2.69,32.7
Grapes,2.63,29.2
Tomatoes,3.16,13.9
Yellow peppers,2.87,14.6
Grapes,2.63,15.6
Corn,1.07,1.8
Butternut squash,1.28,19.1
Coconuts,1.18,10.1
Apples,1.88,27.1
Avocados,3.23,30
Ginger,5.13,22.8
Orange,1.09,6.5
Beets,1.51,26.9
Butternut squash,1.28,12.4
Brussels sprouts,1.65,39.9
Papaya,1.34,19.6
Bananas,0.86,5.2
Celery,3.07,29.4
Okra,2.26,27.6
Apples,1.88,33.1
Cucumber,1.07,27.5
Apricots,3.71,15
Red onion,0.78,35.7
Apricots,3.71,35.8
Brussels sprouts,1.65,12.9
Red onion,0.78,11.1
Grapefruit,0.76,30.6
Ginger,5.13,3.4
Spinach,4.12,6.3
Beets,1.51,5
Okra,2.26,5.3
Orange,1.09,33.3
Celery,3.07,19.4
Tomatoes,3.16,14.2
Papaya,1.34,36.1
Red onion,0.78,25.4
Lettuce,1.88,11.4
Parsnips,2.27,27.9
Butternut squash,1.28,13.7
Avocados,3.23,36.4
Corn,1.07,6.7
Garlic,1.19,17.8
Cherries,9.5,39.6
Cucumber,1.07,32.2
Apples,1.88,34.6
Potatoes,0.86,16.3
Bok choy,1.42,11.7
Asparagus,2.49,27.6
Green peppers,1.89,35
Apricots,3.71,22.2
Green cabbage,0.8,6.6
Celery,3.07,24.1
Cherries,9.5,33.2
Daikon,1.4,2.2
Kale,5.02,34.9
Apples,1.88,6.7
Asparagus,2.49,26.2
Tomatoes,3.16,16.9
Potatoes,0.86,28.3
Butternut squash,1.28,5.2
Tomatoes,3.16,33.5
Asparagus,2.49,3.4
Garlic,1.19,1.4
Avocados,3.23,28.3
Garlic,1.19,31.9
Strawberries,4.4,22.6
Cucumber,1.07,22.5
Eggplant,2.32,1.6
Watermelon,0.66,33.6
Orange,1.09,14.1
Grapefruit,0.76,29.2
Watermelon,0.66,35.8
Parsnips,2.27,2.9
Parsnips,2.27,22.7
Parsnips,2.27,4.6
Green cabbage,0.8,5.1
Avocados,3.23,11.5
Spinach,4.12,38.8
Papaya,1.34,19.7
Green beans,2.52,32.2
Green beans,2.52,16.4
Watermelon,0.66,18.3
Lettuce,1.88,17.5
Parsnips,2.27,8
Apricots,3.71,8.9
Grapefruit,0.76,24.2
Apples,1.88,1.4
Parsnips,2.27,13.2
Avocados,3.23,1.5
Apricots,3.71,6
Spinach,4.12,13.5
Ginger,5.13,19.4
Ginger,5.13,19.4
Daikon,1.4,28.6
Lettuce,1.88,34.5
Butternut squash,1.28,12.3
Fava beans,2.69,17.5
Grapes,2.63,37.5
Eggplant,2.32,33.4
Apples,1.88,1.5
Beets,1.51,19.8
Carrots,1.26,27.9
Cucumber,1.07,9.1
Bok choy,1.42,37.8
Corn,1.07,4.3
Green beans,2.52,2.6
Lettuce,1.88,3
Green peppers,1.89,14.6
Carrots,1.26,20.8
Eggplant,2.32,21.2
Daikon,1.4,38.1
Coconuts,1.18,7.6
Cucumber,1.07,1.9
Yellow peppers,2.87,20.1
Apples,1.88,29.1
Green peppers,1.89,7.4
Asparagus,2.49,37.9
Brussels sprouts,1.65,18.3
Cherries,9.5,12
Papaya,1.34,21.5
Avocados,3.23,4.2
Okra,2.26,30.1
Bananas,0.86,14.2
Eggplant,2.32,10.4
Bok choy,1.42,13
Butternut squash,1.28,24.4
Parsnips,2.27,15.4
Lettuce,1.88,29.8
Lemon,1.29,29
Green beans,2.52,36.6
Apples,1.88,18.7
Coconuts,1.18,21.7
Watermelon,0.66,30.9
Red onion,0.78,28.2
Brussels sprouts,1.65,5.7
Watermelon,0.66,3
Coconuts,1.18,34.3
Watermelon,0.66,37
Cucumber,1.07,29.1
Green peppers,1.89,17.9
Avocados,3.23,36.2
Lime,1.06,26.9
Butternut squash,1.28,25.5
Cucumber,1.07,3.1
Bananas,0.86,24.5
Apricots,3.71,21.9
Parsnips,2.27,0.5
Green beans,2.52,36.3
Carrots,1.26,20.6
Green beans,2.52,39
Lettuce,1.88,8.5
Carrots,1.26,16.2
Corn,1.07,19.8
Papaya,1.34,8
Coconuts,1.18,30.6
Bananas,0.86,29.9
Beets,1.51,12.2
Grapefruit,0.76,14.6
Yellow peppers,2.87,11.7
Parsnips,2.27,32
Lime,1.06,9
Bananas,0.86,21.1
Grapes,2.63,1.4
Green beans,2.52,15.2
Beets,1.51,23.4
Apples,1.88,13.2
Red onion,0.78,15
Lime,1.06,33.2
Lettuce,1.88,17.1
Green beans,2.52,8.2
Apples,1.88,14.9
Watermelon,0.66,3
Green cabbage,0.8,34.2
Red onion,0.78,26.6
Grapes,2.63,20.3
Lime,1.06,28.9
Apricots,3.71,1.8
Cucumber,1.07,20.7
Bananas,0.86,30.9
Strawberries,4.4,18.4
Coconuts,1.18,10.1
Eggplant,2.32,22.5
Avocados,3.23,5.2
Apples,1.88,5.2
Carrots,1.26,27
Beets,1.51,5.4
Parsnips,2.27,20.3
Avocados,3.23,33.8
Okra,2.26,10.6
Okra,2.26,24
Potatoes,0.86,35.8
Brussels sprouts,1.65,16
Lime,1.06,3.1
Apples,1.88,3.4
Beets,1.51,12.8
Spinach,4.12,27.2
Spinach,4.12,31
Lemon,1.29,28.8
Fava beans,2.69,16.7
Strawberries,4.4,31.5
Lemon,1.29,22.9
Lime,1.06,13.7
Lettuce,1.88,3.1
Green peppers,1.89,27.8
Cucumber,1.07,26.5
Papaya,1.34,24.4
Asparagus,2.49,38.8
Carrots,1.26,0.6
Avocados,3.23,38.3
Kale,5.02,28.2
Coconuts,1.18,7.1
Avocados,3.23,11.8
Apricots,3.71,23
Asparagus,2.49,23.7
Red onion,0.78,5.4
Apples,1.88,29.4
Green cabbage,0.8,38
Lime,1.06,11.3
Red onion,0.78,34.9
Cucumber,1.07,16.6
Grapefruit,0.76,5.9
Bok choy,1.42,35.4
Kale,5.02,30.1
Eggplant,2.32,32.7
Bananas,0.86,9.4
Grapefruit,0.76,30
Eggplant,2.32,5.5
Okra,2.26,38.2
Green beans,2.52,5.4
Cucumber,1.07,17.8
Kale,5.02,17.4
Grapes,2.63,10.5
Okra,2.26,27.1
Grapefruit,0.76,10.4
Cucumber,1.07,12.5
Beets,1.51,21.9
Daikon,1.4,2.6
Apples,1.88,7.7
Brussels sprouts,1.65,36.3
Lemon,1.29,18.7
Daikon,1.4,15.1
Butternut squash,1.28,36
Apricots,3.71,26.5
Bananas,0.86,39
Ginger,5.13,21
Grapefruit,0.76,34.1
Eggplant,2.32,34.7
Eggplant,2.32,3.5
Asparagus,2.49,13.9
Lime,1.06,35.1
Tomatoes,3.16,6.4
Garlic,1.19,24.5
Kale,5.02,8.2
Garlic,1.19,17.9
Ginger,5.13,6.4
Strawberries,4.4,19.8
Celery,3.07,19.9
Eggplant,2.32,24.4
Bananas,0.86,10.6
Celery,3.07,31.3
Grapes,2.63,29.1
Lettuce,1.88,36.1
Apples,1.88,10
Parsnips,2.27,9.6
Strawberries,4.4,20.3
Grapefruit,0.76,24.9
Ginger,5.13,16.4
Potatoes,0.86,14.8
Spinach,4.12,32.8
Green cabbage,0.8,11.1
Spinach,4.12,4.5
Eggplant,2.32,13.9
Butternut squash,1.28,21.9
Watermelon,0.66,36.6
Spinach,4.12,14
Fava beans,2.69,38.7
Asparagus,2.49,0.6
Brussels sprouts,1.65,6.8
Fava beans,2.69,32.2
Asparagus,2.49,37.3
Potatoes,0.86,4.5
Potatoes,0.86,1.1
Grapefruit,0.76,21.7
Bananas,0.86,34
Grapes,2.63,6.7
Spinach,4.12,17.3
Tomatoes,3.16,7.1
Cherries,9.5,26.2
Bananas,0.86,13.2
Green peppers,1.89,24.3
Okra,2.26,11.2
Eggplant,2.32,5.3
Red onion,0.78,18.5
Cherries,9.5,39.6
Cherries,9.5,10.6
Tomatoes,3.16,7.2
Beets,1.51,18.6
Celery,3.07,28.7
Green cabbage,0.8,16.5
Asparagus,2.49,3.4
Butternut squash,1.28,18.5
Celery,3.07,4.8
Lettuce,1.88,25
Potatoes,0.86,31.1
Fava beans,2.69,15.6
Lettuce,1.88,12.4
Lettuce,1.88,7.4
Grapes,2.63,39
Strawberries,4.4,5.6
Okra,2.26,3.1
Cherries,9.5,7.9
Papaya,1.34,5.7
Fava beans,2.69,9.3
Lettuce,1.88,7.8
Cherries,9.5,33.5
Watermelon,0.66,20.6
Apples,1.88,24.7
Strawberries,4.4,27.8
Bananas,0.86,1.8
Avocados,3.23,21.7
Apples,1.88,27.1
Garlic,1.19,3
Eggplant,2.32,16.8
Green beans,2.52,30.7
Green peppers,1.89,30.5
Cherries,9.5,15.6
Butternut squash,1.28,21.5
Lemon,1.29,5.6
Tomatoes,3.16,3
Potatoes,0.86,8.5
Orange,1.09,6.5
Grapes,2.63,38.9
Kale,5.02,38.9
Bok choy,1.42,6.2
Green beans,2.52,38.2
Lettuce,1.88,34
Asparagus,2.49,27.3
Green cabbage,0.8,5.6
Orange,1.09,5
Coconuts,1.18,13.5
Garlic,1.19,4.9
Fava beans,2.69,16.9
Apricots,3.71,7
Cucumber,1.07,28.8
Eggplant,2.32,31.3
Green peppers,1.89,30.5
Kale,5.02,34.8
Garlic,1.19,1.3
Apricots,3.71,5
Bananas,0.86,12.8
Apples,1.88,35
Grapefruit,0.76,28.1
Butternut squash,1.28,18.4
Kale,5.02,34.3
